 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  104:  air (dry, 1 atm)
      Absorber with <Z/A> =  0.49919, density = $ 1.205 \times10^{- 3}$          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.1091  3.3994  1.7418  4.2759   85.7 10.5961 0.00
 ( Restricted energy loss for Tcut = 0.05 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  1.000E+00 1.457E+01 3.282E+00 0.000E+00 0.000E+00 4.936E-05 4.936E-05 6.565E+00 2.150E-03  0.0000 4.436E+01
  1.200E+00 1.597E+01 3.830E+01 0.000E+00 0.000E+00 4.946E-05 4.946E-05 3.830E+01 7.018E-03  0.0000 3.830E+01
  1.400E+00 1.726E+01 3.381E+01 0.000E+00 0.000E+00 4.955E-05 4.955E-05 3.381E+01 1.259E-02  0.0000 3.381E+01
  1.700E+00 1.903E+01 2.889E+01 0.000E+00 0.000E+00 4.969E-05 4.969E-05 2.889E+01 2.222E-02  0.0000 2.889E+01
  2.000E+00 2.066E+01 2.532E+01 0.000E+00 0.000E+00 4.983E-05 4.983E-05 2.532E+01 3.334E-02  0.0000 2.532E+01
  2.500E+00 2.312E+01 2.112E+01 0.000E+00 0.000E+00 5.006E-05 5.006E-05 2.112E+01 5.506E-02  0.0000 2.112E+01
  3.000E+00 2.536E+01 1.822E+01 0.000E+00 0.000E+00 5.029E-05 5.029E-05 1.822E+01 8.063E-02  0.0000 1.801E+01
  3.500E+00 2.742E+01 1.608E+01 0.000E+00 0.000E+00 5.052E-05 5.052E-05 1.608E+01 1.099E-01  0.0000 1.573E+01
  4.000E+00 2.935E+01 1.444E+01 0.000E+00 0.000E+00 5.075E-05 5.075E-05 1.444E+01 1.428E-01  0.0000 1.399E+01
  4.500E+00 3.116E+01 1.314E+01 0.000E+00 0.000E+00 5.098E-05 5.098E-05 1.314E+01 1.791E-01  0.0000 1.263E+01
  5.000E+00 3.289E+01 1.208E+01 0.000E+00 0.000E+00 5.122E-05 5.122E-05 1.208E+01 2.188E-01  0.0000 1.153E+01
  5.500E+00 3.453E+01 1.119E+01 0.000E+00 0.000E+00 5.145E-05 5.145E-05 1.119E+01 2.619E-01  0.0000 1.062E+01
  6.000E+00 3.611E+01 1.045E+01 0.000E+00 0.000E+00 5.168E-05 5.168E-05 1.045E+01 3.081E-01  0.0000 9.864E+00
  7.000E+00 3.909E+01 9.258E+00 0.000E+00 0.000E+00 5.214E-05 5.214E-05 9.258E+00 4.100E-01  0.0000 8.659E+00
  8.000E+00 4.189E+01 8.346E+00 0.000E+00 0.000E+00 5.260E-05 5.260E-05 8.346E+00 5.240E-01  0.0000 7.746E+00
  9.000E+00 4.453E+01 7.625E+00 0.000E+00 0.000E+00 5.307E-05 5.307E-05 7.625E+00 6.495E-01  0.0000 7.030E+00
  1.000E+01 4.704E+01 7.039E+00 0.000E+00 0.000E+00 5.353E-05 5.353E-05 7.039E+00 7.862E-01  0.0000 6.453E+00
  1.200E+01 5.177E+01 6.145E+00 0.000E+00 0.000E+00 5.446E-05 5.446E-05 6.145E+00 1.091E+00  0.0000 5.581E+00
  1.400E+01 5.616E+01 5.494E+00 0.000E+00 0.000E+00 5.538E-05 5.538E-05 5.495E+00 1.436E+00  0.0000 4.951E+00
  1.700E+01 6.230E+01 4.793E+00 0.000E+00 0.000E+00 5.677E-05 5.677E-05 4.793E+00 2.023E+00  0.0000 4.279E+00
