 Incident particle is a   Muon with M =   105.65839 MeV
 Index =   82:  lead
     Absorber with Z =  82,  A = 207.2(1), density = 11.350          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.0936  3.1608  0.3776  3.8073  823.0  6.2018 0.14
 ( Restricted energy loss for Tcut = 0.05 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  1.000E+00 1.457E+01 1.890E+00 0.000E+00 0.000E+00 3.871E-05 3.871E-05 3.782E+00 5.269E-03 -0.0015 1.897E+01
  1.200E+00 1.597E+01 1.672E+01 0.000E+00 0.000E+00 3.878E-05 3.878E-05 1.672E+01 1.652E-02 -0.0015 1.671E+01
  1.400E+00 1.726E+01 1.495E+01 0.000E+00 0.000E+00 3.885E-05 3.885E-05 1.495E+01 2.919E-02 -0.0015 1.495E+01
  1.700E+00 1.903E+01 1.300E+01 0.000E+00 0.000E+00 3.896E-05 3.896E-05 1.300E+01 5.079E-02 -0.0015 1.299E+01
  2.000E+00 2.066E+01 1.158E+01 0.000E+00 0.000E+00 3.907E-05 3.907E-05 1.158E+01 7.530E-02 -0.0016 1.158E+01
  2.500E+00 2.312E+01 9.919E+00 0.000E+00 0.000E+00 3.925E-05 3.925E-05 9.919E+00 1.221E-01 -0.0016 9.918E+00
  3.000E+00 2.536E+01 8.749E+00 0.000E+00 0.000E+00 3.943E-05 3.943E-05 8.749E+00 1.760E-01 -0.0016 8.586E+00
  3.500E+00 2.742E+01 7.870E+00 0.000E+00 0.000E+00 3.961E-05 3.961E-05 7.870E+00 2.363E-01 -0.0016 7.588E+00
  4.000E+00 2.935E+01 7.180E+00 0.000E+00 0.000E+00 3.980E-05 3.980E-05 7.180E+00 3.029E-01 -0.0016 6.823E+00
  4.500E+00 3.116E+01 6.620E+00 0.000E+00 0.000E+00 3.998E-05 3.998E-05 6.620E+00 3.755E-01 -0.0016 6.217E+00
  5.000E+00 3.289E+01 6.156E+00 0.000E+00 0.000E+00 4.016E-05 4.016E-05 6.156E+00 4.539E-01 -0.0016 5.723E+00
  5.500E+00 3.453E+01 5.764E+00 0.000E+00 0.000E+00 4.034E-05 4.034E-05 5.764E+00 5.379E-01 -0.0017 5.312E+00
  6.000E+00 3.611E+01 5.428E+00 0.000E+00 0.000E+00 4.052E-05 4.052E-05 5.428E+00 6.273E-01 -0.0017 4.964E+00
  7.000E+00 3.909E+01 4.880E+00 0.000E+00 0.000E+00 4.088E-05 4.088E-05 4.880E+00 8.220E-01 -0.0017 4.405E+00
  8.000E+00 4.189E+01 4.452E+00 0.000E+00 0.000E+00 4.125E-05 4.125E-05 4.452E+00 1.037E+00 -0.0017 3.976E+00
  9.000E+00 4.453E+01 4.107E+00 0.000E+00 0.000E+00 4.161E-05 4.161E-05 4.107E+00 1.271E+00 -0.0018 3.636E+00
  1.000E+01 4.704E+01 3.823E+00 0.000E+00 0.000E+00 4.197E-05 4.197E-05 3.823E+00 1.524E+00 -0.0018 3.358E+00
  1.200E+01 5.177E+01 3.382E+00 0.000E+00 0.000E+00 4.270E-05 4.270E-05 3.382E+00 2.081E+00 -0.0019 2.934E+00
  1.400E+01 5.616E+01 3.054E+00 0.000E+00 0.000E+00 4.342E-05 4.342E-05 3.054E+00 2.705E+00 -0.0019 2.624E+00
  1.700E+01 6.230E+01 2.695E+00 0.000E+00 0.000E+00 4.451E-05 4.451E-05 2.695E+00 3.754E+00 -0.0020 2.288E+00
  2.000E+01 6.802E+01 2.436E+00 0.000E+00 0.000E+00 4.560E-05 4.560E-05 2.436E+00 4.927E+00 -0.0021 2.049E+00
  2.500E+01 7.686E+01 2.134E+00 0.000E+00 0.000E+00 4.742E-05 4.742E-05 2.134E+00 7.128E+00 -0.0023 1.773E+00
  3.000E+01 8.509E+01 1.928E+00 0.000E+00 0.000E+00 4.923E-05 4.923E-05 1.928E+00 9.600E+00 -0.0025 1.586E+00
  3.500E+01 9.285E+01 1.779E+00 0.000E+00 0.000E+00 5.104E-05 5.104E-05 1.779E+00 1.230E+01 -0.0026 1.452E+00
  4.000E+01 1.003E+02 1.666E+00 0.000E+00 0.000E+00 5.286E-05 5.286E-05 1.666E+00 1.521E+01 -0.0028 1.352E+00
  4.500E+01 1.074E+02 1.579E+00 0.000E+00 0.000E+00 5.467E-05 5.467E-05 1.579E+00 1.830E+01 -0.0030 1.273E+00
  5.000E+01 1.143E+02 1.509E+00 0.000E+00 0.000E+00 5.649E-05 5.649E-05 1.509E+00 2.154E+01 -0.0032 1.211E+00
  5.500E+01 1.210E+02 1.453E+00 0.000E+00 0.000E+00 5.830E-05 5.830E-05 1.453E+00 2.492E+01 -0.0035 1.160E+00
  6.000E+01 1.276E+02 1.406E+00 0.000E+00 0.000E+00 6.012E-05 6.012E-05 1.406E+00 2.842E+01 -0.0037 1.118E+00
  7.000E+01 1.403E+02 1.334E+00 0.000E+00 0.000E+00 6.375E-05 6.375E-05 1.335E+00 3.573E+01 -0.0041 1.054E+00
  8.000E+01 1.527E+02 1.283E+00 0.000E+00 0.000E+00 6.738E-05 6.738E-05 1.283E+00 4.338E+01 -0.0046 1.006E+00
  9.000E+01 1.647E+02 1.244E+00 6.397E-06 0.000E+00 7.100E-05 7.740E-05 1.244E+00 5.130E+01 -0.0051 9.703E-01
  1.000E+02 1.764E+02 1.215E+00 1.516E-05 0.000E+00 7.463E-05 8.979E-05 1.215E+00 5.943E+01 -0.0057 9.426E-01
  1.200E+02 1.994E+02 1.176E+00 3.385E-05 0.000E+00 8.189E-05 1.157E-04 1.176E+00 7.619E+01 -0.0068 9.032E-01
  1.400E+02 2.218E+02 1.151E+00 5.401E-05 0.000E+00 8.915E-05 1.432E-04 1.152E+00 9.339E+01 -0.0081 8.774E-01
